test,t,set_L,set_R,vel_L,vel_R
straight_slow,2.9066,-0.3,-0.3,-0.3209,-0.7691
straight_slow,2.9273,-0.3,-0.3,-0.3209,0.0
straight_slow,2.9478,-0.3,-0.3,-0.3209,0.0
straight_slow,2.9692,-0.3,-0.3,-0.3505,0.0
straight_slow,2.9899,-0.3,-0.3,-0.3505,-0.3494
straight_slow,3.0104,-0.3,-0.3,-0.3505,-0.3494
straight_slow,3.0318,-0.3,-0.3,-0.6996,-0.3494
straight_slow,3.0525,-0.3,-0.3,-0.6996,0.0
straight_slow,3.073,-0.3,-0.3,-0.6996,0.0
straight_slow,3.0945,-0.3,-0.3,-0.3492,0.0
straight_slow,3.1152,-0.3,-0.3,-0.3492,-0.3214
straight_slow,3.1357,-0.3,-0.3,-0.3492,-0.3214
straight_slow,3.1571,-0.3,-0.3,-0.3504,-0.3214
straight_slow,3.1777,-0.3,-0.3,-0.3504,-0.3505
straight_slow,3.1982,-0.3,-0.3,-0.3504,-0.3505
straight_slow,3.2196,-0.3,-0.3,-0.7022,-0.3505
straight_slow,3.2404,-0.3,-0.3,-0.7022,-0.6419
straight_slow,3.261,-0.3,-0.3,-0.7022,-0.6419
straight_slow,3.2825,-0.3,-0.3,-0.3209,-0.6419
straight_slow,3.3033,-0.3,-0.3,-0.3209,0.0
straight_slow,3.3238,-0.3,-0.3,-0.3209,0.0
straight_slow,3.3452,-0.3,-0.3,0.0,0.0
straight_slow,3.366,-0.3,-0.3,0.0,-0.3209
straight_slow,3.3865,-0.3,-0.3,0.0,-0.3209
straight_slow,3.4079,-0.3,-0.3,-0.6417,-0.3209
straight_slow,3.4286,-0.3,-0.3,-0.6417,-0.6419
straight_slow,3.4491,-0.3,-0.3,-0.6417,-0.6419
straight_slow,3.4705,-0.3,-0.3,0.0,-0.6419
straight_slow,3.4911,-0.3,-0.3,0.0,-0.3496
straight_slow,3.5117,-0.3,-0.3,0.0,-0.3496
straight_slow,3.5332,-0.3,-0.3,-0.3509,-0.3496
straight_slow,3.554,-0.3,-0.3,-0.3509,0.0
straight_slow,3.5745,-0.3,-0.3,-0.3509,0.0
straight_slow,3.596,-0.3,-0.3,0.0,0.0
straight_slow,3.6167,-0.3,-0.3,0.0,-0.6489
straight_slow,3.6372,-0.3,-0.3,0.0,-0.6489
straight_slow,3.6585,-0.3,-0.3,-0.3504,-0.6489
straight_slow,3.6793,-0.3,-0.3,-0.3504,-0.3496
straight_slow,3.6998,-0.3,-0.3,-0.3504,-0.3496
straight_slow,3.7211,-0.3,-0.3,0.0,-0.3496
straight_slow,3.7417,-0.3,-0.3,0.0,-0.3209
straight_slow,3.7622,-0.3,-0.3,0.0,-0.3209
straight_slow,3.7836,-0.3,-0.3,-0.7012,-0.3209
straight_slow,3.8042,-0.3,-0.3,-0.7012,-0.3504
straight_slow,3.8247,-0.3,-0.3,-0.7012,-0.3504
straight_slow,3.846,-0.3,-0.3,-0.3489,-0.3504
straight_slow,3.8667,-0.3,-0.3,-0.3489,-0.3495
straight_slow,3.8872,-0.3,-0.3,-0.3489,-0.3495
straight_slow,3.9085,-0.3,-0.3,-0.3504,-0.3495
straight_slow,3.9292,-0.3,-0.3,-0.3504,-0.3209
straight_slow,3.9496,-0.3,-0.3,-0.3504,-0.3209
straight_slow,3.9709,-0.3,-0.3,0.0,-0.3209
straight_slow,3.9916,-0.3,-0.3,0.0,0.0
straight_slow,4.0121,-0.3,-0.3,0.0,0.0
straight_slow,4.0334,-0.3,-0.3,-0.3522,0.0
straight_slow,4.054,-0.3,-0.3,-0.3522,-0.3203
straight_slow,4.0745,-0.3,-0.3,-0.3522,-0.3203
straight_slow,4.0962,-0.3,-0.3,-0.3209,-0.3203
straight_slow,4.117,-0.3,-0.3,-0.3209,0.0
straight_slow,4.1375,-0.3,-0.3,-0.3209,0.0
straight_slow,4.159,-0.3,-0.3,0.0,0.0
straight_slow,4.1797,-0.3,-0.3,0.0,-0.3491
straight_slow,4.2002,-0.3,-0.3,0.0,-0.3491
straight_slow,4.2216,-0.3,-0.3,-0.6418,-0.3491
straight_slow,4.2423,-0.3,-0.3,-0.6418,-0.6417
straight_slow,4.2628,-0.3,-0.3,-0.6418,-0.6417
straight_slow,4.2842,-0.3,-0.3,0.0,-0.6417
straight_slow,4.3049,-0.3,-0.3,0.0,0.0
straight_slow,4.3255,-0.3,-0.3,0.0,0.0
straight_slow,4.3468,-0.3,-0.3,0.0,0.0
straight_slow,4.3676,-0.3,-0.3,0.0,-0.6943
straight_slow,4.388,-0.3,-0.3,0.0,-0.6943
straight_slow,4.4094,-0.3,-0.3,-0.6414,-0.6943
straight_slow,4.43,-0.3,-0.3,-0.6414,0.0
straight_slow,4.4505,-0.3,-0.3,-0.6414,0.0
straight_slow,4.4718,-0.3,-0.3,-0.3496,0.0
straight_slow,4.4925,-0.3,-0.3,-0.3496,-0.351
stop,5.0139,0.0,0.0,-0.3496,-0.351
stop,5.0355,0.0,0.0,0.0,-0.351
stop,5.0562,0.0,0.0,0.0,0.0
stop,5.0767,0.0,0.0,0.0,0.0
stop,5.098,0.0,0.0,0.0,0.0
stop,5.1187,0.0,0.0,0.0,0.0
stop,5.1392,0.0,0.0,0.0,0.0
stop,5.1606,0.0,0.0,0.0,0.0
stop,5.1813,0.0,0.0,0.0,0.0
stop,5.2018,0.0,0.0,0.0,0.0
stop,5.2232,0.0,0.0,0.0,0.0
stop,5.2439,0.0,0.0,0.0,0.0
stop,5.2644,0.0,0.0,0.0,0.0
stop,5.2858,0.0,0.0,0.0,0.0
stop,5.3065,0.0,0.0,0.0,0.0
stop,5.3271,0.0,0.0,0.0,0.0
stop,5.3485,0.0,0.0,0.0,0.0
stop,5.3692,0.0,0.0,0.0,0.0
stop,5.3897,0.0,0.0,0.0,0.0
stop,5.4111,0.0,0.0,0.0,0.0
stop,5.4318,0.0,0.0,0.0,0.0
stop,5.4524,0.0,0.0,0.0,0.0
stop,5.4737,0.0,0.0,0.0,0.0
stop,5.4944,0.0,0.0,0.0,0.0
stop,5.5149,0.0,0.0,0.0,0.0
stop,5.5364,0.0,0.0,0.0,0.0
stop,5.5571,0.0,0.0,0.0,0.0
stop,5.5776,0.0,0.0,0.0,0.0
stop,5.5993,0.0,0.0,0.0,0.0
stop,5.62,0.0,0.0,0.0,0.0
stop,5.6405,0.0,0.0,0.0,0.0
stop,5.6619,0.0,0.0,0.0,0.0
stop,5.6826,0.0,0.0,0.0,0.0
stop,5.7031,0.0,0.0,0.0,0.0
stop,5.7245,0.0,0.0,0.0,0.0
stop,5.7452,0.0,0.0,0.0,0.0
stop,5.7656,0.0,0.0,0.0,0.0
stop,5.787,0.0,0.0,0.0,0.0
stop,5.8076,0.0,0.0,0.0,0.0
stop,5.8281,0.0,0.0,0.0,0.0
stop,5.8494,0.0,0.0,0.0,0.0
stop,5.8701,0.0,0.0,0.0,0.0
stop,5.8906,0.0,0.0,0.0,0.0
stop,5.912,0.0,0.0,0.0,0.0
stop,5.9326,0.0,0.0,0.0,0.0
stop,5.9531,0.0,0.0,0.0,0.0
stop,5.9744,0.0,0.0,0.0,0.0
stop,5.9951,0.0,0.0,0.0,0.0
straight_medium,6.5166,-0.5,-0.5,0.0,0.0
straight_medium,6.5382,-0.5,-0.5,0.0,0.0
straight_medium,6.5589,-0.5,-0.5,0.0,0.0
straight_medium,6.5795,-0.5,-0.5,0.0,0.0
straight_medium,6.6008,-0.5,-0.5,0.0,0.0
straight_medium,6.6215,-0.5,-0.5,0.0,0.0
straight_medium,6.642,-0.5,-0.5,0.0,0.0
straight_medium,6.6634,-0.5,-0.5,0.0,0.0
straight_medium,6.684,-0.5,-0.5,0.0,0.0
straight_medium,6.7045,-0.5,-0.5,0.0,0.0
straight_medium,6.7258,-0.5,-0.5,-0.3489,0.0
straight_medium,6.7465,-0.5,-0.5,-0.3489,-0.6418
